split_id,split_index,experiment_id,user_id,cut_window,raw_sample_index,M,alpha,delta,corrected_threshold,true_state,true_state_name,future_observation,n_observations,exact_prediction_set,raw_mc_prediction_set,corrected_mc_prediction_set,exact_set_match,jaccard,symmetric_difference,exact_covered,raw_mc_covered,corrected_mc_covered,exact_scaled_set_size,raw_mc_scaled_set_size,corrected_mc_scaled_set_size,exact_runtime_seconds,mc_runtime_seconds,runtime_ratio_exact_over_mc,exact_score_evaluations,exact_max_candidate_permutations,mc_score_evaluations,workload_ratio_exact_over_mc
exp35_user17_cut168,0,35,17,168,8850,25,0.2,0.05,-0.0716203031481239,0,stationary,3,4,"((0,),)","((0,),)","((0,), (1,))",True,1.0,0,True,True,True,0.5,0.5,1.0,0.06894319993443787,0.005017100018449128,13.741643515360773,734,552,50,14.68
exp35_user17_cut168,0,35,17,168,8850,50,0.2,0.05,0.007935441736015847,0,stationary,3,4,"((0,),)","((0,), (1,))","((0,), (1,))",False,0.5,1,True,True,True,0.5,1.0,1.0,0.06894319993443787,0.00968680006917566,7.117231639147982,734,552,100,7.34
exp35_user17_cut168,0,35,17,168,8850,100,0.2,0.05,0.06418984842593806,0,stationary,3,4,"((0,),)","((0,),)","((0,), (1,))",True,1.0,0,True,True,True,0.5,0.5,1.0,0.06894319993443787,0.019551999983377755,3.526145662492345,734,552,200,3.67
exp35_user17_cut168,0,35,17,168,8850,250,0.2,0.05,0.1141061183306525,0,stationary,3,4,"((0,),)","((0,),)","((0,), (1,))",True,1.0,0,True,True,True,0.5,0.5,1.0,0.06894319993443787,0.047845999943092465,1.4409396818216402,734,552,500,1.468
exp35_user17_cut168,0,35,17,168,8850,500,0.2,0.05,0.1392638538091695,0,stationary,3,4,"((0,),)","((0,),)","((0,), (1,))",True,1.0,0,True,True,True,0.5,0.5,1.0,0.06894319993443787,0.09487989998888224,0.7266365156636594,734,552,1000,0.734
exp35_user17_cut168,0,35,17,168,8850,1000,0.2,0.05,0.15705305916532625,0,stationary,3,4,"((0,),)","((0,),)","((0,), (1,))",True,1.0,0,True,True,True,0.5,0.5,1.0,0.06894319993443787,0.19014530000276864,0.36258166745869613,734,552,2000,0.367
exp59_user29_cut150,1,59,29,150,8100,25,0.2,0.05,-0.0716203031481239,0,stationary,3,4,"((0,), (1,))","((0,),)","((0,), (1,))",False,0.5,1,True,True,True,1.0,0.5,1.0,0.06582140002865344,0.005118699977174401,12.859007232728619,692,420,50,13.84
exp59_user29_cut150,1,59,29,150,8100,50,0.2,0.05,0.007935441736015847,0,stationary,3,4,"((0,), (1,))","((0,), (1,))","((0,), (1,))",True,1.0,0,True,True,True,1.0,1.0,1.0,0.06582140002865344,0.009982199990190566,6.593877110590416,692,420,100,6.92
exp59_user29_cut150,1,59,29,150,8100,100,0.2,0.05,0.06418984842593806,0,stationary,3,4,"((0,), (1,))","((0,), (1,))","((0,), (1,))",True,1.0,0,True,True,True,1.0,1.0,1.0,0.06582140002865344,0.019055700046010315,3.454158066600888,692,420,200,3.46
exp59_user29_cut150,1,59,29,150,8100,250,0.2,0.05,0.1141061183306525,0,stationary,3,4,"((0,), (1,))","((0,), (1,))","((0,), (1,))",True,1.0,0,True,True,True,1.0,1.0,1.0,0.06582140002865344,0.04676549998112023,1.40747773583574,692,420,500,1.384
exp59_user29_cut150,1,59,29,150,8100,500,0.2,0.05,0.1392638538091695,0,stationary,3,4,"((0,), (1,))","((0,), (1,))","((0,), (1,))",True,1.0,0,True,True,True,1.0,1.0,1.0,0.06582140002865344,0.0972930999705568,0.6765269073405263,692,420,1000,0.692
exp59_user29_cut150,1,59,29,150,8100,1000,0.2,0.05,0.15705305916532625,0,stationary,3,4,"((0,), (1,))","((0,), (1,))","((0,), (1,))",True,1.0,0,True,True,True,1.0,1.0,1.0,0.06582140002865344,0.196949900011532,0.3342037747914541,692,420,2000,0.346
exp51_user25_cut174,2,51,25,174,8950,25,0.2,0.05,-0.0716203031481239,1,moving,3,4,"((1,),)","((1,),)","((0,), (1,))",True,1.0,0,True,True,True,0.5,0.5,1.0,0.06608370004687458,0.00623299996368587,10.602230135069043,702,462,50,14.04
exp51_user25_cut174,2,51,25,174,8950,50,0.2,0.05,0.007935441736015847,1,moving,3,4,"((1,),)","((1,),)","((0,), (1,))",True,1.0,0,True,True,True,0.5,0.5,1.0,0.06608370004687458,0.009709900012239814,6.8058064412169825,702,462,100,7.02
exp51_user25_cut174,2,51,25,174,8950,100,0.2,0.05,0.06418984842593806,1,moving,3,4,"((1,),)","((1,),)","((0,), (1,))",True,1.0,0,True,True,True,0.5,0.5,1.0,0.06608370004687458,0.01928040001075715,3.4275066912514465,702,462,200,3.51
exp51_user25_cut174,2,51,25,174,8950,250,0.2,0.05,0.1141061183306525,1,moving,3,4,"((1,),)","((1,),)","((1,),)",True,1.0,0,True,True,True,0.5,0.5,0.5,0.06608370004687458,0.04821860010270029,1.370502252369907,702,462,500,1.404
exp51_user25_cut174,2,51,25,174,8950,500,0.2,0.05,0.1392638538091695,1,moving,3,4,"((1,),)","((1,),)","((1,),)",True,1.0,0,True,True,True,0.5,0.5,0.5,0.06608370004687458,0.09961290005594492,0.6634050410113593,702,462,1000,0.702
